area_id,complaint_count,near_empty_plot,near_market,rainfall_mm,latitude,longitude
B1,5,0,0,2,28.7130,77.3090
B2,12,1,0,6,28.7140,77.3100
B3,22,1,1,11,28.7150,77.3110
B4,8,0,0,3,28.7160,77.3120
B5,17,0,1,7,28.7170,77.3130
B6,27,1,1,12,28.7180,77.3140
B7,4,0,0,1,28.7190,77.3150
B8,19,1,0,8,28.7200,77.3160
B9,29,1,1,13,28.7210,77.3170
B10,6,0,0,2,28.7220,77.3180
B11,14,0,1,6,28.7230,77.3190
B12,25,1,1,12,28.7240,77.3200
B13,7,0,0,3,28.7250,77.3210
B14,16,1,0,7,28.7260,77.3220
B15,30,1,1,14,28.7270,77.3230
