area_id,complaint_count,near_empty_plot,near_market,rainfall_mm,latitude,longitude,risk_level
B1,5,0,0,2,28.713,77.309,Low
B2,12,1,0,6,28.714,77.31,Medium
B3,22,1,1,11,28.715,77.311,High
B4,8,0,0,3,28.716,77.312,Low
B5,17,0,1,7,28.717,77.313,Medium
B6,27,1,1,12,28.718,77.314,High
B7,4,0,0,1,28.719,77.315,Low
B8,19,1,0,8,28.72,77.316,Medium
B9,29,1,1,13,28.721,77.317,High
B10,6,0,0,2,28.722,77.318,Low
B11,14,0,1,6,28.723,77.319,Medium
B12,25,1,1,12,28.724,77.32,High
B13,7,0,0,3,28.725,77.321,Low
B14,16,1,0,7,28.726,77.322,Medium
B15,30,1,1,14,28.727,77.323,High
