area_id,complaint_count,near_empty_plot,near_market,rainfall_mm,risk_level,latitude,longitude
A1,5,0,0,2,Low,28.6130,77.2090
A2,12,0,1,6,Medium,28.6140,77.2100
A3,25,1,1,10,High,28.6150,77.2110
A4,8,0,0,3,Low,28.6160,77.2120
A5,18,1,0,8,Medium,28.6170,77.2130
A6,30,1,1,12,High,28.6180,77.2140
A7,6,0,0,1,Low,28.6190,77.2150
A8,20,1,0,7,Medium,28.6200,77.2160
A9,28,1,1,13,High,28.6210,77.2170
A10,4,0,0,2,Low,28.6220,77.2180
A11,15,0,1,5,Medium,28.6230,77.2190
A12,26,1,1,11,High,28.6240,77.2200
A13,7,0,0,3,Low,28.6250,77.2210
A14,16,1,0,6,Medium,28.6260,77.2220
A15,29,1,1,14,High,28.6270,77.2230
A16,3,0,0,1,Low,28.6280,77.2240
A17,19,1,0,8,Medium,28.6290,77.2250
A18,23,1,1,12,High,28.6300,77.2260
A19,5,0,0,2,Low,28.6310,77.2270
A20,14,0,1,6,Medium,28.6320,77.2280
A21,31,1,1,13,High,28.6330,77.2290
A22,6,0,0,2,Low,28.6340,77.2300
A23,13,1,0,5,Medium,28.6350,77.2310
A24,27,1,1,12,High,28.6360,77.2320
A25,8,0,0,3,Low,28.6370,77.2330
A26,17,1,0,7,Medium,28.6380,77.2340
A27,24,1,1,11,High,28.6390,77.2350
A28,4,0,0,1,Low,28.6400,77.2360
A29,19,0,1,6,Medium,28.6410,77.2370
A30,29,1,1,13,High,28.6420,77.2380
A31,7,0,0,2,Low,28.6430,77.2390
A32,15,1,0,5,Medium,28.6440,77.2400
A33,26,1,1,12,High,28.6450,77.2410
A34,3,0,0,1,Low,28.6460,77.2420
A35,18,0,1,8,Medium,28.6470,77.2430
A36,22,1,1,14,High,28.6480,77.2440
A37,5,0,0,2,Low,28.6490,77.2450
A38,16,1,0,6,Medium,28.6500,77.2460
A39,30,1,1,13,High,28.6510,77.2470
A40,6,0,0,1,Low,28.6520,77.2480
A41,12,0,1,5,Medium,28.6530,77.2490
A42,27,1,1,12,High,28.6540,77.2500
A43,7,0,0,2,Low,28.6550,77.2510
A44,17,1,0,7,Medium,28.6560,77.2520
A45,25,1,1,11,High,28.6570,77.2530
A46,4,0,0,1,Low,28.6580,77.2540
A47,19,0,1,6,Medium,28.6590,77.2550
A48,28,1,1,13,High,28.6600,77.2560
A49,6,0,0,2,Low,28.6610,77.2570
A50,14,1,0,5,Medium,28.6620,77.2580
A51,23,1,1,12,High,28.6630,77.2590
A52,3,0,0,1,Low,28.6640,77.2600
A53,15,0,1,7,Medium,28.6650,77.2610
A54,26,1,1,13,High,28.6660,77.2620
A55,5,0,0,2,Low,28.6670,77.2630
A56,18,1,0,8,Medium,28.6680,77.2640
A57,30,1,1,14,High,28.6690,77.2650
A58,7,0,0,3,Low,28.6700,77.2660
A59,16,0,1,6,Medium,28.6710,77.2670
A60,29,1,1,13,High,28.6720,77.2680
A61,4,0,0,1,Low,28.6730,77.2690
A62,13,1,0,5,Medium,28.6740,77.2700
A63,27,1,1,12,High,28.6750,77.2710
A64,6,0,0,2,Low,28.6760,77.2720
A65,19,0,1,7,Medium,28.6770,77.2730
A66,23,1,1,12,High,28.6780,77.2740
A67,5,0,0,1,Low,28.6790,77.2750
A68,17,1,0,8,Medium,28.6800,77.2760
A69,28,1,1,13,High,28.6810,77.2770
A70,7,0,0,2,Low,28.6820,77.2780
A71,15,0,1,5,Medium,28.6830,77.2790
A72,30,1,1,14,High,28.6840,77.2800
A73,6,0,0,2,Low,28.6850,77.2810
A74,18,1,0,8,Medium,28.6860,77.2820
A75,25,1,1,12,High,28.6870,77.2830
A76,4,0,0,1,Low,28.6880,77.2840
A77,16,0,1,7,Medium,28.6890,77.2850
A78,29,1,1,13,High,28.6900,77.2860
A79,5,0,0,2,Low,28.6910,77.2870
A80,14,1,0,6,Medium,28.6920,77.2880
A81,23,1,1,12,High,28.6930,77.2890
A82,3,0,0,1,Low,28.6940,77.2900
A83,17,0,1,8,Medium,28.6950,77.2910
A84,30,1,1,14,High,28.6960,77.2920
A85,6,0,0,2,Low,28.6970,77.2930
A86,15,1,0,6,Medium,28.6980,77.2940
A87,27,1,1,13,High,28.6990,77.2950
A88,4,0,0,1,Low,28.7000,77.2960
A89,19,0,1,7,Medium,28.7010,77.2970
A90,28,1,1,13,High,28.7020,77.2980
A91,5,0,0,2,Low,28.7030,77.2990
A92,16,1,0,6,Medium,28.7040,77.3000
A93,30,1,1,14,High,28.7050,77.3010
A94,7,0,0,3,Low,28.7060,77.3020
A95,18,0,1,8,Medium,28.7070,77.3030
A96,25,1,1,12,High,28.7080,77.3040
A97,6,0,0,2,Low,28.7090,77.3050
A98,14,1,0,5,Medium,28.7100,77.3060
A99,23,1,1,12,High,28.7110,77.3070
A100,4,0,0,1,Low,28.7120,77.3080
